rup,obj,P_hist,P_new,P_ccgt,P_ccgt_bioch4,P_won,P_wof,P_pv,P_ror,P_lake,P_cogen,P_charge,P_discharge,E_hist,E_new,E_ccgt,E_ccgt_bioch4,E_won,E_wof,E_pv,E_ror,E_lake,E_cogen,
0.048,7.12e+11,0,54365.57748085029,22576.203396543668,43730.381664231034,27507.40916820363,42612.578131157075,32889.87509170004,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.37565016773158,0.1328553512985513,10.286288434747188,9.064173982654083,19.474550380999244,5.980591736890983,3.5771874911053456,2.6765084655023155,0.3933149839092311,
0.049,7.12e+11,0,54365.11093329718,22576.662098563385,43755.64752402712,27051.058842601597,43129.03656684261,32787.619732823696,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.38079381329275,0.13242231605458313,10.217626611510894,8.91379854296786,19.710579184384297,5.961997943127905,3.5771874911053465,2.676508465502316,0.39331498390923114,
0.05,7.12e+11,0,54364.644439054246,22577.12074816942,43734.64102078208,26973.12515129006,43195.55414666912,32797.99476608358,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.41872614249472,0.13320323436718354,10.173952662509437,8.888118024208772,19.74097865835103,5.963884506637529,3.577187491105347,2.676508465502317,0.39331498390923136,
0.051,7.12e+11,0,54364.177998112355,22577.579345370716,43767.717278457654,26748.29662200874,43387.44868409027,32827.92538312227,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.44909709419367,0.13257595344491904,10.126852629770147,8.814033078832468,19.828677173689517,5.9693269961709285,3.577187491105349,2.676508465502318,0.39331498390923153,
0.052,7.12e+11,0,54364.53167509086,22576.942230182634,43796.7381175746,26511.06550187011,43589.929019688374,32859.50711267064,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.47919743081085,0.1320674073083324,10.079188168207317,8.735861262145272,19.92121354838691,5.975069718824854,3.577187491105349,2.676508465502318,0.39331498390923153,
0.053,7.11e+11,0,54363.24527609514,22577.629948153633,43848.67704782046,26210.578209810366,43846.39945115478,32899.50990987964,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.503232417729784,0.13101372043505738,10.032787572759409,8.636845426878834,20.038424159851424,5.982343702011908,3.577187491105361,2.6765084655023266,0.3933149839092328,
0.054,7.11e+11,0,54367.024492421886,22572.582850772968,43855.05781299724,25976.85878760157,44045.88249965607,32930.6241396573,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.53247887889034,0.13108471901439633,9.985611033921995,8.55983077627784,20.129590731989573,5.988001415973663,3.577187491105333,2.6765084655023057,0.39331498390922975,
0.055,7.11e+11,0,54366.84898751205,22571.781010727085,43931.20841234628,25722.315142081337,44263.13933652967,32964.510623717164,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.55621018763925,0.1291849343374751,9.943792934370856,8.47595417870137,20.228880176582557,5.994163227959782,3.5771874911053603,2.676508465502326,0.3933149839092327,
0.056,7.11e+11,0,54366.673490145055,22571.954581653245,43941.232430371034,25703.495655813516,44279.2020516282,32967.01599453531,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.58994012903054,0.12891559093067484,9.910073764883045,8.46975282775794,20.236221064371062,5.994618796731943,3.577187491105347,2.6765084655023164,0.39331498390923125,
0.057,7.11e+11,0,54366.498000320425,22572.128145119837,43944.92024351265,25696.78397568111,44284.930571751705,32967.90949647818,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.623103912494486,0.12882221750129066,9.877726623261994,8.467541211387074,20.238839079019392,5.9947812683230035,3.577187491105337,2.6765084655023093,0.3933149839092302,
0.058,7.11e+11,0,54366.32251803768,22572.069822853002,43950.12442046227,25687.174669520595,44293.132259351165,32969.1887489984,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.6531575145397,0.1286885320674646,9.848007800974216,8.46437477639648,20.242587366153682,5.995013883589294,3.5771874911053514,2.6765084655023195,0.39331498390923175,
0.059,7.11e+11,0,54366.14704329632,22571.401641505137,43931.91035656201,25722.31514208134,44263.13933652965,32964.510623717186,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.684917604563765,0.1291849343374749,9.819662791043461,8.475954178701356,20.228880176582507,5.994163227959776,3.5771874911053527,2.6765084655023204,0.39331498390923186,
0.06,7.11e+11,0,54365.971576095864,22571.331846861667,43932.04101979792,25407.678138431995,44531.68676004335,33006.397121362876,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.69982297866306,0.12969848674532622,9.779277252007907,8.37227576518664,20.351610144077195,6.001779737326499,3.5771874911053403,2.676508465502311,0.3933149839092305,
0.061,7.11e+11,0,54365.79611643581,22570.56096430925,43925.642319787956,24993.619816561022,44885.09177672336,33061.519223096235,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.70991387146069,0.13057276361185288,9.735583738791007,8.235836282811038,20.51312123080499,6.011802967430842,3.5771874911053514,2.6765084655023195,0.39331498390923175,
0.062,7.11e+11,0,54365.620664315706,22571.237996167692,43926.264939609144,24923.42511172143,44945.004014986305,33070.863992798775,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.73514205392851,0.13067341095462306,9.705843474156106,8.21270589588742,20.540501970334557,6.013502191046347,3.577187491105361,2.676508465502327,0.3933149839092328,
0.063,7.11e+11,0,54365.44521973503,22570.86266228091,43953.66652373672,24649.70300330526,45178.629958919526,33107.30363694986,6678.0,13610.0,2000.0,5394.0,5394.0,0.0,48.745864916465266,0.1302897054020395,9.674043708721284,8.12250965826967,20.647272328171805,6.0201282616561205,3.5771874911053434,2.6765084655023137,0.3933149839092309,
